,series_id,year,value,Month,lfst_code,periodicity_code,series_title,activity_code,ages_code,class_code,duration_code,education_code,entr_code,expr_code,indy_text
46,LNS11000000,2018,162662.0,11,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
47,LNS11000000,2018,163111.0,12,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
48,LNS11000000,2019,163142.0,1,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
49,LNS11000000,2019,163047.0,2,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
50,LNS11000000,2019,162935.0,3,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
51,LNS11000000,2019,162546.0,4,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
52,LNS11000000,2019,162782.0,5,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
53,LNS11000000,2019,163133.0,6,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
54,LNS11000000,2019,163373.0,7,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
55,LNS11000000,2019,163894.0,8,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
56,LNS11000000,2019,164051.0,9,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
57,LNS11000000,2019,164401.0,10,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
58,LNS11000000,2019,164347.0,11,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
59,LNS11000000,2019,164556.0,12,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
60,LNS11000000,2020,164606.0,1,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
61,LNS11000000,2020,164546.0,2,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
62,LNS11000000,2020,162913.0,3,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
63,LNS11000000,2020,156481.0,4,10,M,(Seas) Civilian Labor Force Level,0,00,0,0,00,0,0,All Industries
64,LNS11000001,2015,83597.0,1,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
65,LNS11000001,2015,83453.0,2,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
66,LNS11000001,2015,83488.0,3,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
67,LNS11000001,2015,83698.0,4,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
68,LNS11000001,2015,83949.0,5,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
69,LNS11000001,2015,83492.0,6,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
70,LNS11000001,2015,83600.0,7,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
71,LNS11000001,2015,83615.0,8,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
72,LNS11000001,2015,83492.0,9,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
73,LNS11000001,2015,83588.0,10,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
74,LNS11000001,2015,83574.0,11,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
75,LNS11000001,2015,83994.0,12,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
76,LNS11000001,2016,84111.0,1,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
77,LNS11000001,2016,84445.0,2,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
78,LNS11000001,2016,84600.0,3,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
79,LNS11000001,2016,84609.0,4,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
